1,2,3,4,5,6,7,8,loc_id
2020,995,90,9,65,959 (96%),36 (4%),,11000016
2019,969,,12,65,,,,11000016
2018,1103,,9,65,,,,11000016
2017,10182,,,,,,,11000016
2016,10112,,,,,,,11000016
2015,949,,11,65,,,,11000016
2014,968,,10,65,,,,11000016
2013,995,,9,65,,,,11000016
2012,919,,11,65,,,,11000016
2011,946,,9,65,,,,11000016
2010,1022,,12,65,,,,11000016
2009,914,,10,65,,,,11000016
2008,928,,10,65,,,,11000016
2007,990,,10,65,,,,11000016
2006,1020,,9,65,,,,11000016
2005,928,,10,65,,,,11000016
2004,10682,,,,,,,11000016
2003,10562,,,,,,,11000016
2002,9832,,,,,,,11000016
2001,9732,,,,,,,11000016
2000,1057,,,,,,,11000016
1999,1031,,,,,,,11000016
1998,993,,,,,,,11000016
1997,9502,,,,,,,11000016
1996,941,,,,,,,11000016
1995,988,,,,,,,11000016
1994,950,,,,,,,11000016
1993,930,,,,,,,11000016
1992,944,,,,,,,11000016
1991,1050,,,,,,,11000016
1990,828,,,,,,,11000016
1989,1029,,,,,,,11000016
1988,978,,,,,,,11000016
1987,844,,,,,,,11000016
1986,830,,,,,,,11000016
1985,615,,,,,,,11000016
2020,646,68,11,65,622 (96%),24 (4%),,11000019
2019,705,,12,65,,,,11000019
2018,625,,11,65,,,,11000019
2017,659,,12,65,,,,11000019
2016,7392,,,,,,,11000019
2015,812,,13,65,,,,11000019
2014,485,,11,65,,,,11000019
2013,587,,11,65,,,,11000019
2012,755,,9,65,,,,11000019
2011,674,,9,65,,,,11000019
2010,504,,9,65,,,,11000019
2009,636,,10,65,,,,11000019
2008,645,,13,65,,,,11000019
2007,644,,11,65,,,,11000019
2006,658,,12,65,,,,11000019
2005,860,,10,65,,,,11000019
2004,8852,,,,,,,11000019
2003,750,,11,65,,,,11000019
2002,8682,,,,,,,11000019
2001,970,,,,,,,11000019
2000,8762,,,,,,,11000019
1999,833,,,,,,,11000019
1998,7202,,,,,,,11000019
1997,712,,,,,,,11000019
