1,2,3,4,5,6,7,8,loc_id
2019,15753,,10,55,,,,11000006
2018,16008,,8,56,,,,11000006
2017,141902,,,,,,,11000006
2016,14050,,8,56,,,,11000006
2015,13384,,8,58,,,,11000006
2014,13020,,8,63,,,,11000006
2013,13033,,8,58,,,,11000006
2012,12961,,8,60,,,,11000006
2011,13432,,8,60,,,,11000006
2010,12748,,8,61,,,,11000006
2009,13148,,9,65,,,,11000006
2008,13363,,9,59,,,,11000006
2007,13659,,9,63,,,,11000006
2006,12595,,10,64,,,,11000006
2005,14058,,9,66,,,,11000006
2004,12821,,9,63,,,,11000006
2003,11952,,9,68,,,,11000006
2002,11742,,,,,,,11000006
2001,13057,,,,,,,11000006
2000,10073,,,,,,,11000006
1999,9908,,,,,,,11000006
1998,9791,,,,,,,11000006
1997,9432,,,,,,,11000006
1996,8875,,,,,,,11000006
1995,7850,,,,,,,11000006
1994,7761,,,,,,,11000006
1993,7033,,,,,,,11000006
1992,6598,,,,,,,11000006
1991,6480,,,,,,,11000006
1990,7172,,,,,,,11000006
1989,6468,,,,,,,11000006
1988,5995,,,,,,,11000006
1987,5553,,,,,,,11000006
1986,4882,,,,,,,11000006
1985,5409,,,,,,,11000006
